id,age,c_charge_degree,race,age_cat,score_text,sex,priors_count,days_b_screening_arrest,decile_score,is_recid,two_year_recid,c_jail_in,c_jail_out,length_of_stay
3,34,F,African-American,25 - 45,Low,Male,0,-1.0,3,1,1,2013-01-26 03:45:27,2013-02-05 05:36:53,10
4,24,F,African-American,Less than 25,Low,Male,4,-1.0,4,1,1,2013-04-13 04:58:34,2013-04-14 07:02:04,1
8,41,F,Caucasian,25 - 45,Medium,Male,14,-1.0,6,1,1,2014-02-18 05:08:24,2014-02-24 12:18:30,6
10,39,M,Caucasian,25 - 45,Low,Female,0,-1.0,1,0,0,2014-03-15 05:35:34,2014-03-18 04:28:46,2
14,27,F,Caucasian,25 - 45,Low,Male,0,-1.0,4,0,0,2013-11-25 06:31:06,2013-11-26 08:26:57,1
15,23,M,African-American,Less than 25,Medium,Male,3,0.0,6,1,1,2013-10-03 04:07:35,2013-10-07 08:17:30,4
16,37,M,Caucasian,25 - 45,Low,Female,0,0.0,1,0,0,2013-01-01 03:28:03,2013-01-02 01:12:19,0
18,41,F,African-American,25 - 45,Low,Male,0,-1.0,4,0,0,2013-10-08 11:53:09,2013-10-09 02:16:51,0
19,47,F,Caucasian,Greater than 45,Low,Female,1,-20.0,1,1,1,2013-10-10 05:12:58,2013-10-24 11:30:00,14
20,31,F,African-American,25 - 45,Low,Male,7,22.0,3,1,1,2014-06-25 02:15:57,2014-06-28 05:02:21,3
22,25,F,African-American,25 - 45,High,Male,3,-1.0,10,0,0,2013-12-21 05:42:02,2013-12-22 09:11:18,1
23,31,F,Caucasian,25 - 45,Medium,Male,6,-1.0,5,1,1,2013-11-16 07:12:12,2013-11-17 08:28:54,1
24,31,F,Caucasian,25 - 45,Low,Male,5,-1.0,3,1,1,2014-11-14 01:37:05,2014-11-15 04:57:04,1
25,64,F,African-American,Greater than 45,Medium,Male,13,-1.0,6,1,1,2014-05-01 06:49:08,2014-05-02 09:28:02,1
26,21,F,African-American,Less than 25,High,Male,1,-1.0,9,1,1,2013-04-17 01:40:58,2013-04-20 04:19:42,3
27,27,M,Caucasian,25 - 45,Low,Male,0,0.0,2,1,1,2014-10-16 05:43:29,2014-10-16 12:40:42,0
28,21,F,Caucasian,Less than 25,Low,Female,0,-2.0,4,0,0,2013-11-20 04:12:09,2013-11-21 07:53:21,1
32,43,M,Caucasian,25 - 45,Low,Male,1,-1.0,1,0,0,2013-01-24 03:43:22,2013-01-25 09:12:10,1
37,27,F,African-American,25 - 45,Low,Male,8,-1.0,3,1,1,2013-05-05 09:07:10,2013-05-22 09:08:22,17
39,26,F,African-American,25 - 45,Medium,Male,5,-1.0,7,1,1,2013-02-19 07:47:55,2013-02-20 06:33:11,0
40,33,F,African-American,25 - 45,High,Male,0,0.0,10,1,1,2014-10-24 12:50:50,2014-12-01 07:49:53,37
41,30,F,Caucasian,25 - 45,High,Male,9,0.0,9,1,1,2013-01-28 02:28:42,2013-03-13 07:32:52,44
42,32,F,African-American,25 - 45,High,Male,4,-1.0,8,1,1,2014-11-14 03:07:02,2014-11-15 04:56:55,1
45,55,F,Caucasian,Greater than 45,Low,Male,0,-1.0,1,0,0,2013-12-29 06:37:02,2013-12-31 10:29:24,2
52,33,M,Caucasian,25 - 45,Medium,Female,4,-1.0,5,1,1,2013-12-02 01:48:34,2013-12-13 05:25:42,11
53,24,M,Caucasian,Less than 25,Low,Male,1,0.0,2,1,1,2013-09-15 03:47:52,2013-09-16 06:50:10,1
54,34,F,African-American,25 - 45,High,Male,21,0.0,9,1,1,2013-01-11 02:19:35,2013-02-13 09:33:11,33
55,29,M,Caucasian,25 - 45,Low,Male,0,0.0,2,0,0,2013-01-16 12:44:00,2013-01-16 06:49:32,-1
56,21,F,African-American,Less than 25,High,Female,2,-1.0,8,0,0,2013-08-23 10:37:03,2013-11-11 04:30:55,79
57,51,M,African-American,Greater than 45,Low,Male,2,-1.0,1,0,0,2013-02-27 04:44:18,2013-02-28 08:01:39,1
59,29,M,Caucasian,25 - 45,Low,Male,2,-1.0,2,1,1,2014-04-05 08:45:01,2014-04-06 01:46:41,0
61,51,F,African-American,Greater than 45,Low,Female,7,-1.0,2,0,0,2013-02-13 09:29:56,2013-02-15 01:35:37,1
64,29,F,African-American,25 - 45,Medium,Male,0,0.0,7,1,1,2014-03-03 04:28:58,2014-03-03 09:10:41,0
66,25,M,Caucasian,25 - 45,High,Male,9,-1.0,10,1,1,2014-03-27 10:17:55,2014-04-03 09:27:42,6
67,35,F,African-American,25 - 45,High,Male,13,-1.0,8,1,1,2014-05-18 04:05:09,2014-05-19 01:47:37,0
68,49,M,Caucasian,Greater than 45,Low,Male,0,0.0,1,0,0,2013-08-02 04:43:01,2013-08-02 08:31:32,0
70,29,F,African-American,25 - 45,Low,Male,0,0.0,4,0,0,2013-04-24 04:28:24,2013-04-24 08:20:12,0
71,29,F,Caucasian,25 - 45,Low,Male,1,-24.0,2,1,1,2013-05-10 05:18:38,2013-05-10 07:43:04,0
79,31,F,African-American,25 - 45,Medium,Male,15,-1.0,5,1,0,2013-03-17 09:02:33,2013-07-31 08:23:26,135
80,24,F,African-American,Less than 25,Low,Male,2,-1.0,4,1,1,2013-09-17 07:19:20,2013-09-19 04:16:03,1
84,49,M,African-American,Greater than 45,Low,Male,4,-1.0,1,0,0,2013-08-26 09:16:39,2013-08-27 06:57:19,0
85,53,F,Caucasian,Greater than 45,Medium,Male,8,-13.0,5,0,0,2013-05-15 08:36:10,2013-05-28 10:06:35,13
87,35,F,African-American,25 - 45,Low,Male,5,-1.0,3,0,0,2013-02-10 07:44:42,2013-02-11 07:04:44,0
90,27,F,African-American,25 - 45,High,Male,15,-1.0,10,1,1,2014-08-29 04:58:13,2014-08-30 08:38:48,1
91,38,M,Caucasian,25 - 45,Low,Male,4,-1.0,2,1,1,2013-02-03 11:59:25,2013-02-05 11:05:50,1
93,22,F,African-American,Less than 25,Low,Male,1,-1.0,4,1,1,2013-11-15 06:56:49,2013-11-16 07:51:56,1
96,29,F,African-American,25 - 45,High,Male,4,-1.0,9,1,1,2013-01-25 10:34:01,2013-02-13 09:36:41,18
98,27,F,African-American,25 - 45,Medium,Male,6,0.0,6,1,1,2014-04-30 02:11:49,2014-05-30 04:59:14,30
100,56,M,African-American,Greater than 45,Low,Female,0,0.0,1,0,0,2013-09-28 02:52:18,2013-10-01 07:39:52,3
105,39,M,African-American,25 - 45,Low,Male,1,-1.0,4,0,0,2013-03-06 11:23:53,2013-03-11 09:00:57,4
107,29,F,African-American,25 - 45,Medium,Male,5,0.0,6,1,1,2013-01-07 02:12:47,2013-01-08 05:19:42,1
108,27,F,Caucasian,25 - 45,Medium,Male,1,-1.0,6,1,1,2014-12-02 03:23:28,2014-12-16 09:24:24,14
111,40,F,African-American,25 - 45,Low,Male,2,-15.0,2,0,0,2013-07-02 03:42:01,2013-07-05 08:13:10,3
113,22,M,African-American,Less than 25,Low,Male,1,0.0,3,1,1,2013-08-25 12:07:09,2013-09-11 08:04:08,16
